Mod:Item:MetaData, Localized Name
nuclearcraft:melter_active, Melter
nuclearcraft:supercooler_idle, Supercooler
nuclearcraft:supercooler_active, Supercooler
nuclearcraft:electrolyser_idle, Electrolyzer
nuclearcraft:electrolyser_active, Electrolyzer
nuclearcraft:irradiator_idle, Neutron Irradiator
nuclearcraft:irradiator_active, Neutron Irradiator
nuclearcraft:ingot_former_idle, Ingot Former
nuclearcraft:ingot_former_active, Ingot Former
nuclearcraft:pressurizer_idle, Pressurizer
nuclearcraft:pressurizer_active, Pressurizer
nuclearcraft:chemical_reactor_idle, Chemical Reactor
nuclearcraft:chemical_reactor_active, Chemical Reactor
nuclearcraft:salt_mixer_idle, Salt Mixer
nuclearcraft:salt_mixer_active, Salt Mixer
nuclearcraft:crystallizer_idle, Crystallizer
nuclearcraft:crystallizer_active, Crystallizer
nuclearcraft:dissolver_idle, Fluid Enricher
nuclearcraft:dissolver_active, Fluid Enricher
nuclearcraft:extractor_idle, Fluid Extractor
nuclearcraft:extractor_active, Fluid Extractor
nuclearcraft:centrifuge_idle, Centrifuge
nuclearcraft:centrifuge_active, Centrifuge
nuclearcraft:rock_crusher_idle, Rock Crusher
nuclearcraft:rock_crusher_active, Rock Crusher
nuclearcraft:machine_interface, Machine Interface
nuclearcraft:fission_controller_idle, Fission Controller (Old)
nuclearcraft:fission_controller_active, Fission Controller
nuclearcraft:fission_controller_new_idle, Fission Controller
nuclearcraft:fission_controller_new_active, Fission Controller
nuclearcraft:fission_controller_new_fixed, Fission Controller
nuclearcraft:fission_port, Fission Reactor Port
nuclearcraft:fusion_core, Fusion Core
nuclearcraft:fusion_dummy_side, Fusion Core
nuclearcraft:fusion_dummy_top, Fusion Core
nuclearcraft:fusion_connector, Fusion Connector
nuclearcraft:rtg_uranium, Uranium RTG
nuclearcraft:rtg_plutonium, Plutonium RTG
nuclearcraft:rtg_americium, Americium RTG
nuclearcraft:rtg_californium, Californium RTG
nuclearcraft:solar_panel_basic, Basic Solar Panel
nuclearcraft:solar_panel_advanced, Advanced Solar Panel
nuclearcraft:solar_panel_du, DU Solar Panel
nuclearcraft:solar_panel_elite, Elite Solar Panel
nuclearcraft:decay_generator, Decay Generator
nuclearcraft:voltaic_pile_basic, Basic Voltaic Pile
nuclearcraft:voltaic_pile_advanced, Advanced Voltaic Pile
nuclearcraft:voltaic_pile_du, DU Voltaic Pile
nuclearcraft:voltaic_pile_elite, Elite Voltaic Pile
nuclearcraft:lithium_ion_battery_basic, Basic Lithium Ion Battery
nuclearcraft:lithium_ion_battery_advanced, Advanced Lithium Ion Battery
nuclearcraft:lithium_ion_battery_du, DU Lithium Ion Battery
nuclearcraft:lithium_ion_battery_elite, Elite Lithium Ion Battery
nuclearcraft:buffer, Buffer
nuclearcraft:active_cooler, Active Fluid Cooler
nuclearcraft:bin, Universal Bin
nuclearcraft:fusion_electromagnet_idle, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_active, Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_idle, Transparent Fusion Electromagnet
nuclearcraft:fusion_electromagnet_transparent_active, Transparent Fusion Electromagnet
nuclearcraft:salt_fission_controller, Molten Salt Reactor Controller
nuclearcraft:salt_fission_wall, Molten Salt Reactor Wall
nuclearcraft:salt_fission_glass, Molten Salt Reactor Glass
nuclearcraft:salt_fission_frame, Molten Salt Reactor Frame
nuclearcraft:salt_fission_beam, Molten Salt Reactor Beam
nuclearcraft:salt_fission_vent, Molten Salt Reactor Vent
nuclearcraft:salt_fission_vessel, Molten Salt Fission Vessel
nuclearcraft:salt_fission_heater, Molten Salt Coolant Heater
nuclearcraft:salt_fission_moderator, Molten Salt Reactor Moderator Housing
nuclearcraft:salt_fission_distributor, Molten Salt Fuel Distributor
nuclearcraft:salt_fission_retriever, Molten Salt Depleted Fuel Retriever
nuclearcraft:salt_fission_redstone_port, Molten Salt Reactor Redstone Port
nuclearcraft:salt_fission_computer_port, Molten Salt Reactor Computer Port
nuclearcraft:heat_exchanger_controller, Heat Exchanger Controller
nuclearcraft:heat_exchanger_wall, Heat Exchanger Shell
nuclearcraft:heat_exchanger_glass, Heat Exchanger Glass
nuclearcraft:heat_exchanger_frame, Heat Exchanger Frame
nuclearcraft:heat_exchanger_vent, Heat Exchanger Vent
nuclearcraft:heat_exchanger_tube_copper, Copper Heat Exchanger Tube
nuclearcraft:heat_exchanger_tube_hard_carbon, Hard Carbon Heat Exchanger Tube
nuclearcraft:heat_exchanger_tube_thermoconducting, Thermoconducting Alloy Heat Exchanger Tube
nuclearcraft:heat_exchanger_condenser_tube_copper, Copper Condensation Tube
nuclearcraft:heat_exchanger_condenser_tube_hard_carbon, Hard Carbon Condensation Tube
nuclearcraft:heat_exchanger_condenser_tube_thermoconducting, Thermoconducting Alloy Condensation Tube
nuclearcraft:heat_exchanger_computer_port, Heat Exchanger Computer Port
nuclearcraft:turbine_controller, Turbine Controller
nuclearcraft:turbine_wall, Turbine Wall
nuclearcraft:turbine_glass, Transparent Turbine Wall
nuclearcraft:turbine_frame, Turbine Frame
nuclearcraft:turbine_rotor_shaft, Turbine Rotor Shaft
nuclearcraft:turbine_rotor_blade_steel, Steel Turbine Rotor Blade
nuclearcraft:turbine_rotor_blade_extreme, Extreme Alloy Turbine Rotor Blade
nuclearcraft:turbine_rotor_blade_sic_sic_cmc, SiC-SiC CMC Turbine Rotor Blade
nuclearcraft:turbine_rotor_stator, Turbine Rotor Stator
nuclearcraft:turbine_rotor_bearing, Turbine Rotor Bearing
nuclearcraft:turbine_dynamo_coil:0, Magnesium Turbine Dynamo Coil
nuclearcraft:turbine_dynamo_coil:1, Beryllium Turbine Dynamo Coil
nuclearcraft:turbine_dynamo_coil:2, Aluminum Turbine Dynamo Coil
nuclearcraft:turbine_dynamo_coil:3, Gold Turbine Dynamo Coil
nuclearcraft:turbine_dynamo_coil:4, Copper Turbine Dynamo Coil
nuclearcraft:turbine_dynamo_coil:5, Silver Turbine Dynamo Coil
nuclearcraft:turbine_inlet, Turbine Fluid Inlet
nuclearcraft:turbine_outlet, Turbine Fluid Outlet
nuclearcraft:turbine_computer_port, Turbine Computer Port
nuclearcraft:accelerator_electromagnet_idle, Superconducting Electromagnet
nuclearcraft:accelerator_electromagnet_active, Superconducting Electromagnet
nuclearcraft:electromagnet_supercooler_idle, Superconducting Supercooler
nuclearcraft:electromagnet_supercooler_active, Superconducting Supercooler
nuclearcraft:helium_collector, Helium Collector
nuclearcraft:helium_collector_compact, Compact Helium Collector
nuclearcraft:helium_collector_dense, Dense Helium Collector
nuclearcraft:cobblestone_generator, Cobblestone Generator
nuclearcraft:cobblestone_generator_compact, Compact Cobblestone Generator
nuclearcraft:cobblestone_generator_dense, Dense Cobblestone Generator
nuclearcraft:water_source, Infinite Water Source
nuclearcraft:water_source_compact, Compact Infinite Water Source
nuclearcraft:water_source_dense, Dense Infinite Water Source
nuclearcraft:nitrogen_collector, Nitrogen Collector
nuclearcraft:nitrogen_collector_compact, Compact Nitrogen Collector
nuclearcraft:nitrogen_collector_dense, Dense Nitrogen Collector
nuclearcraft:radiation_scrubber, Radiation Scrubber
nuclearcraft:geiger_block, Geiger Counter Block
nuclearcraft:glowing_mushroom, Glowing Mushroom
nuclearcraft:dry_earth, Wasteland Earth
nuclearcraft:tritium_lamp, Tritium Lamp
nuclearcraft:ingot:0, Copper Ingot
nuclearcraft:ingot:1, Tin Ingot
nuclearcraft:ingot:2, Lead Ingot
nuclearcraft:ingot:3, Thorium Ingot
nuclearcraft:ingot:4, Uranium Ingot
nuclearcraft:ingot:5, Boron Ingot
nuclearcraft:ingot:6, Lithium Ingot
nuclearcraft:ingot:7, Magnesium Ingot
nuclearcraft:ingot:8, Graphite Ingot
nuclearcraft:ingot:9, Beryllium Ingot
nuclearcraft:ingot:10, Zirconium Ingot
nuclearcraft:ingot:11, Manganese Ingot
nuclearcraft:ingot:12, Aluminum Ingot
nuclearcraft:ingot:13, Silver Ingot
nuclearcraft:ingot_oxide:0, Thorium Oxide Ingot
nuclearcraft:ingot_oxide:1, Uranium Oxide Ingot
nuclearcraft:ingot_oxide:2, Manganese Oxide Ingot
nuclearcraft:ingot_oxide:3, Manganese Dioxide Ingot
nuclearcraft:dust:0, Copper Dust
nuclearcraft:dust:1, Tin Dust
nuclearcraft:dust:2, Lead Dust
nuclearcraft:dust:3, Thorium Dust
nuclearcraft:dust:4, Uranium Dust
nuclearcraft:dust:5, Boron Dust
nuclearcraft:dust:6, Lithium Dust
nuclearcraft:dust:7, Magnesium Dust
nuclearcraft:dust:8, Graphite Dust
nuclearcraft:dust:9, Beryllium Dust
nuclearcraft:dust:10, Zirconium Dust
nuclearcraft:dust:11, Manganese Dust
nuclearcraft:dust:12, Aluminum Dust
nuclearcraft:dust:13, Silver Dust
nuclearcraft:dust_oxide:0, Thorium Oxide Dust
nuclearcraft:dust_oxide:1, Uranium Oxide Dust
nuclearcraft:dust_oxide:2, Manganese Oxide Dust
nuclearcraft:dust_oxide:3, Manganese Dioxide Dust
nuclearcraft:gem:0, Rhodochrosite
nuclearcraft:gem:1, Cubic Boron Nitride
nuclearcraft:gem:2, Fluorite
nuclearcraft:gem:3, Villiaumite
nuclearcraft:gem:4, Carobbiite
nuclearcraft:gem:5, Boron Arsenide
nuclearcraft:gem:6, Silicon
nuclearcraft:gem_dust:0, Crushed Diamond
nuclearcraft:gem_dust:1, Crushed Rhodochrosite
nuclearcraft:gem_dust:2, Crushed Quartz
nuclearcraft:gem_dust:3, Crushed Obsidian
nuclearcraft:gem_dust:4, Hexagonal Boron Nitride
nuclearcraft:gem_dust:5, Crushed Fluorite
nuclearcraft:gem_dust:6, Sulfur
nuclearcraft:gem_dust:7, Crushed Coal
nuclearcraft:gem_dust:8, Crushed Villiaumite
nuclearcraft:gem_dust:9, Crushed Carobbiite
nuclearcraft:gem_dust:10, Crushed Arsenic
nuclearcraft:gem_dust:11, Crushed End Stone
nuclearcraft:alloy:0, Bronze Ingot
nuclearcraft:alloy:1, Tough Alloy
nuclearcraft:alloy:2, Hard Carbon Alloy
nuclearcraft:alloy:3, Magnesium Diboride Alloy
nuclearcraft:alloy:4, Lithium Manganese Dioxide Alloy
nuclearcraft:alloy:5, Steel Ingot
nuclearcraft:alloy:6, Ferroboron Alloy
nuclearcraft:alloy:7, Shibuichi Alloy
nuclearcraft:alloy:8, Tin Silver Alloy
nuclearcraft:alloy:9, Lead Platinum Alloy
nuclearcraft:alloy:10, Extreme Alloy
nuclearcraft:alloy:11, Thermoconducting Alloy
nuclearcraft:alloy:12, Zircaloy
nuclearcraft:alloy:13, Silicon Carbide Ingot
nuclearcraft:alloy:14, SiC-SiC Ceramic Matrix Composite
nuclearcraft:alloy:15, HSLA Steel Ingot
nuclearcraft:compound:0, Calcium Sulfate
nuclearcraft:compound:1, Crystal Binder
nuclearcraft:compound:2, Energetic Blend
nuclearcraft:compound:3, Sodium Fluoride
nuclearcraft:compound:4, Potassium Fluoride
nuclearcraft:compound:5, Sodium Hydroxide
nuclearcraft:compound:6, Potassium Hydroxide
nuclearcraft:compound:7, Borax
nuclearcraft:compound:8, Dimensional Blend
nuclearcraft:compound:9, Carbon-Manganese Blend
nuclearcraft:compound:10, Alugentum Dust
nuclearcraft:part:0, Basic Plating
nuclearcraft:part:1, Advanced Plating
nuclearcraft:part:2, DU Plating
nuclearcraft:part:3, Elite Plating
nuclearcraft:part:4, Copper Solenoid
nuclearcraft:part:5, Magnesium Diboride Solenoid
nuclearcraft:part:6, Bioplastic
nuclearcraft:part:7, Servomechanism
nuclearcraft:part:8, Electric Motor
nuclearcraft:part:9, Linear Actuator
nuclearcraft:part:10, Machine Chassis
nuclearcraft:part:11, Empty Frame
nuclearcraft:part:12, Steel Frame
nuclearcraft:part:13, Silicon Carbide Fiber
nuclearcraft:upgrade:0, Speed Upgrade
nuclearcraft:upgrade:1, Energy Upgrade
nuclearcraft:tiny_dust_lead, Tiny Pile of Lead Dust
nuclearcraft:fuel_rod, item.nuclearcraft.fuel_rod.name
nuclearcraft:reactor_door_item, Reactor Door
nuclearcraft:thorium:0, Thorium-230
nuclearcraft:thorium:1, Thorium-230 Oxide
nuclearcraft:thorium:2, Tiny Clump of Thorium-230
nuclearcraft:thorium:3, Tiny Clump of Thorium-230 Oxide
nuclearcraft:thorium:4, Thorium-232
nuclearcraft:thorium:5, Thorium-232 Oxide
nuclearcraft:thorium:6, Tiny Clump of Thorium-232
nuclearcraft:thorium:7, Tiny Clump of Thorium-232 Oxide
nuclearcraft:uranium:0, Uranium-233
nuclearcraft:uranium:1, Uranium-233 Oxide
nuclearcraft:uranium:2, Tiny Clump of Uranium-233
nuclearcraft:uranium:3, Tiny Clump of Uranium-233 Oxide
nuclearcraft:uranium:4, Uranium-235
nuclearcraft:uranium:5, Uranium-235 Oxide
nuclearcraft:uranium:6, Tiny Clump of Uranium-235
nuclearcraft:uranium:7, Tiny Clump of Uranium-235 Oxide
nuclearcraft:uranium:8, Uranium-238
nuclearcraft:uranium:9, Uranium-238 Oxide
nuclearcraft:uranium:10, Tiny Clump of Uranium-238
nuclearcraft:uranium:11, Tiny Clump of Uranium-238 Oxide
nuclearcraft:neptunium:0, Neptunium-236
nuclearcraft:neptunium:1, Neptunium-236 Oxide
nuclearcraft:neptunium:2, Tiny Clump of Neptunium-236
nuclearcraft:neptunium:3, Tiny Clump of Neptunium-236 Oxide
nuclearcraft:neptunium:4, Neptunium-237
nuclearcraft:neptunium:5, Neptunium-237 Oxide
nuclearcraft:neptunium:6, Tiny Clump of Neptunium-237
nuclearcraft:neptunium:7, Tiny Clump of Neptunium-237 Oxide
nuclearcraft:plutonium:0, Plutonium-238
nuclearcraft:plutonium:1, Plutonium-238 Oxide
nuclearcraft:plutonium:2, Tiny Clump of Plutonium-238
nuclearcraft:plutonium:3, Tiny Clump of Plutonium-238 Oxide
nuclearcraft:plutonium:4, Plutonium-239
nuclearcraft:plutonium:5, Plutonium-239 Oxide
nuclearcraft:plutonium:6, Tiny Clump of Plutonium-239
nuclearcraft:plutonium:7, Tiny Clump of Plutonium-239 Oxide
nuclearcraft:plutonium:8, Plutonium-241
nuclearcraft:plutonium:9, Plutonium-241 Oxide
nuclearcraft:plutonium:10, Tiny Clump of Plutonium-241
nuclearcraft:plutonium:11, Tiny Clump of Plutonium-241 Oxide
nuclearcraft:plutonium:12, Plutonium-242
nuclearcraft:plutonium:13, Plutonium-242 Oxide
nuclearcraft:plutonium:14, Tiny Clump of Plutonium-242
nuclearcraft:plutonium:15, Tiny Clump of Plutonium-242 Oxide
nuclearcraft:americium:0, Americium-241
nuclearcraft:americium:1, Americium-241 Oxide
nuclearcraft:americium:2, Tiny Clump of Americium-241
nuclearcraft:americium:3, Tiny Clump of Americium-241 Oxide
nuclearcraft:americium:4, Americium-242
nuclearcraft:americium:5, Americium-242 Oxide
nuclearcraft:americium:6, Tiny Clump of Americium-242
nuclearcraft:americium:7, Tiny Clump of Americium-242 Oxide
nuclearcraft:americium:8, Americium-243
nuclearcraft:americium:9, Americium-243 Oxide
nuclearcraft:americium:10, Tiny Clump of Americium-243
nuclearcraft:americium:11, Tiny Clump of Americium-243 Oxide
nuclearcraft:curium:0, Curium-243
nuclearcraft:curium:1, Curium-243 Oxide
nuclearcraft:curium:2, Tiny Clump of Curium-243
nuclearcraft:curium:3, Tiny Clump of Curium-243 Oxide
nuclearcraft:curium:4, Curium-245
nuclearcraft:curium:5, Curium-245 Oxide
nuclearcraft:curium:6, Tiny Clump of Curium-245
nuclearcraft:curium:7, Tiny Clump of Curium-245 Oxide
nuclearcraft:curium:8, Curium-246
nuclearcraft:curium:9, Curium-246 Oxide
nuclearcraft:curium:10, Tiny Clump of Curium-246
nuclearcraft:curium:11, Tiny Clump of Curium-246 Oxide
nuclearcraft:curium:12, Curium-247
nuclearcraft:curium:13, Curium-247 Oxide
nuclearcraft:curium:14, Tiny Clump of Curium-247
nuclearcraft:curium:15, Tiny Clump of Curium-247 Oxide
nuclearcraft:berkelium:0, Berkelium-247
nuclearcraft:berkelium:1, Berkelium-247 Oxide
nuclearcraft:berkelium:2, Tiny Clump of Berkelium-247
nuclearcraft:berkelium:3, Tiny Clump of Berkelium-247 Oxide
nuclearcraft:berkelium:4, Berkelium-248
nuclearcraft:berkelium:5, Berkelium-248 Oxide
nuclearcraft:berkelium:6, Tiny Clump of Berkelium-248
nuclearcraft:berkelium:7, Tiny Clump of Berkelium-248 Oxide
nuclearcraft:californium:0, Californium-249
nuclearcraft:californium:1, Californium-249 Oxide
nuclearcraft:californium:2, Tiny Clump of Californium-249
nuclearcraft:californium:3, Tiny Clump of Californium-249 Oxide
nuclearcraft:californium:4, Californium-250
nuclearcraft:californium:5, Californium-250 Oxide
nuclearcraft:californium:6, Tiny Clump of Californium-250
nuclearcraft:californium:7, Tiny Clump of Californium-250 Oxide
nuclearcraft:californium:8, Californium-251
nuclearcraft:californium:9, Californium-251 Oxide
nuclearcraft:californium:10, Tiny Clump of Californium-251
nuclearcraft:californium:11, Tiny Clump of Californium-251 Oxide
nuclearcraft:californium:12, Californium-252
nuclearcraft:californium:13, Californium-252 Oxide
nuclearcraft:californium:14, Tiny Clump of Californium-252
nuclearcraft:californium:15, Tiny Clump of Californium-252 Oxide
nuclearcraft:fuel_thorium:0, TBU Fuel
nuclearcraft:fuel_thorium:1, TBU Oxide Fuel
nuclearcraft:fuel_uranium:0, LEU-233 Fuel
nuclearcraft:fuel_uranium:1, LEU-233 Oxide Fuel
nuclearcraft:fuel_uranium:2, HEU-233 Fuel
nuclearcraft:fuel_uranium:3, HEU-233 Oxide Fuel
nuclearcraft:fuel_uranium:4, LEU-235 Fuel
nuclearcraft:fuel_uranium:5, LEU-235 Oxide Fuel
nuclearcraft:fuel_uranium:6, HEU-235 Fuel
nuclearcraft:fuel_uranium:7, HEU-235 Oxide Fuel
nuclearcraft:fuel_neptunium:0, LEN-236 Fuel
nuclearcraft:fuel_neptunium:1, LEN-236 Oxide Fuel
nuclearcraft:fuel_neptunium:2, HEN-236 Fuel
nuclearcraft:fuel_neptunium:3, HEN-236 Oxide Fuel
nuclearcraft:fuel_plutonium:0, LEP-239 Fuel
nuclearcraft:fuel_plutonium:1, LEP-239 Oxide Fuel
nuclearcraft:fuel_plutonium:2, HEP-239 Fuel
nuclearcraft:fuel_plutonium:3, HEP-239 Oxide Fuel
nuclearcraft:fuel_plutonium:4, LEP-241 Fuel
nuclearcraft:fuel_plutonium:5, LEP-241 Oxide Fuel
nuclearcraft:fuel_plutonium:6, HEP-241 Fuel
nuclearcraft:fuel_plutonium:7, HEP-241 Oxide Fuel
nuclearcraft:fuel_mixed_oxide:0, MOX-239 Fuel
nuclearcraft:fuel_mixed_oxide:1, MOX-241 Fuel
nuclearcraft:fuel_americium:0, LEA-242 Fuel
nuclearcraft:fuel_americium:1, LEA-242 Oxide Fuel
nuclearcraft:fuel_americium:2, HEA-242 Fuel
nuclearcraft:fuel_americium:3, HEA-242 Oxide Fuel
nuclearcraft:fuel_curium:0, LECm-243 Fuel
nuclearcraft:fuel_curium:1, LECm-243 Oxide Fuel
nuclearcraft:fuel_curium:2, HECm-243 Fuel
nuclearcraft:fuel_curium:3, HECm-243 Oxide Fuel
nuclearcraft:fuel_curium:4, LECm-245 Fuel
nuclearcraft:fuel_curium:5, LECm-245 Oxide Fuel
nuclearcraft:fuel_curium:6, HECm-245 Fuel
nuclearcraft:fuel_curium:7, HECm-245 Oxide Fuel
nuclearcraft:fuel_curium:8, LECm-247 Fuel
nuclearcraft:fuel_curium:9, LECm-247 Oxide Fuel
nuclearcraft:fuel_curium:10, HECm-247 Fuel
nuclearcraft:fuel_curium:11, HECm-247 Oxide Fuel
nuclearcraft:fuel_berkelium:0, LEB-248 Fuel
nuclearcraft:fuel_berkelium:1, LEB-248 Oxide Fuel
nuclearcraft:fuel_berkelium:2, HEB-248 Fuel
nuclearcraft:fuel_berkelium:3, HEB-248 Oxide Fuel
nuclearcraft:fuel_californium:0, LECf-249 Fuel
nuclearcraft:fuel_californium:1, LECf-249 Oxide Fuel
nuclearcraft:fuel_californium:2, HECf-249 Fuel
nuclearcraft:fuel_californium:3, HECf-249 Oxide Fuel
nuclearcraft:fuel_californium:4, LECf-251 Fuel
nuclearcraft:fuel_californium:5, LECf-251 Oxide Fuel
nuclearcraft:fuel_californium:6, HECf-251 Fuel
nuclearcraft:fuel_californium:7, HECf-251 Oxide Fuel
nuclearcraft:depleted_fuel_thorium:0, Depleted TBU Fuel
nuclearcraft:depleted_fuel_thorium:1, Depleted TBU Oxide Fuel
nuclearcraft:depleted_fuel_uranium:0, Depleted LEU-233 Fuel
nuclearcraft:depleted_fuel_uranium:1, Depleted LEU-233 Oxide Fuel
nuclearcraft:depleted_fuel_uranium:2, Depleted HEU-233 Fuel
nuclearcraft:depleted_fuel_uranium:3, Depleted HEU-233 Oxide Fuel
nuclearcraft:depleted_fuel_uranium:4, Depleted LEU-235 Fuel
nuclearcraft:depleted_fuel_uranium:5, Depleted LEU-235 Oxide Fuel
nuclearcraft:depleted_fuel_uranium:6, Depleted HEU-235 Fuel
nuclearcraft:depleted_fuel_uranium:7, Depleted HEU-235 Oxide Fuel
nuclearcraft:depleted_fuel_neptunium:0, Depleted LEN-236 Fuel
nuclearcraft:depleted_fuel_neptunium:1, Depleted LEN-236 Oxide Fuel
nuclearcraft:depleted_fuel_neptunium:2, Depleted HEN-236 Fuel
nuclearcraft:depleted_fuel_neptunium:3, Depleted HEN-236 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:0, Depleted LEP-239 Fuel
nuclearcraft:depleted_fuel_plutonium:1, Depleted LEP-239 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:2, Depleted HEP-239 Fuel
nuclearcraft:depleted_fuel_plutonium:3, Depleted HEP-239 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:4, Depleted LEP-241 Fuel
nuclearcraft:depleted_fuel_plutonium:5, Depleted LEP-241 Oxide Fuel
nuclearcraft:depleted_fuel_plutonium:6, Depleted HEP-241 Fuel
nuclearcraft:depleted_fuel_plutonium:7, Depleted HEP-241 Oxide Fuel
nuclearcraft:depleted_fuel_mixed_oxide:0, Depleted MOX-239 Fuel
nuclearcraft:depleted_fuel_mixed_oxide:1, Depleted MOX-241 Fuel
nuclearcraft:depleted_fuel_americium:0, Depleted LEA-242 Fuel
nuclearcraft:depleted_fuel_americium:1, Depleted LEA-242 Oxide Fuel
nuclearcraft:depleted_fuel_americium:2, Depleted HEA-242 Fuel
nuclearcraft:depleted_fuel_americium:3, Depleted HEA-242 Oxide Fuel
nuclearcraft:depleted_fuel_curium:0, Depleted LECm-243 Fuel
nuclearcraft:depleted_fuel_curium:1, Depleted LECm-243 Oxide Fuel
nuclearcraft:depleted_fuel_curium:2, Depleted HECm-243 Fuel
nuclearcraft:depleted_fuel_curium:3, Depleted HECm-243 Oxide Fuel
nuclearcraft:depleted_fuel_curium:4, Depleted LECm-245 Fuel
nuclearcraft:depleted_fuel_curium:5, Depleted LECm-245 Oxide Fuel
nuclearcraft:depleted_fuel_curium:6, Depleted HECm-245 Fuel
nuclearcraft:depleted_fuel_curium:7, Depleted HECm-245 Oxide Fuel
nuclearcraft:depleted_fuel_curium:8, Depleted LECm-247 Fuel
nuclearcraft:depleted_fuel_curium:9, Depleted LECm-247 Oxide Fuel
nuclearcraft:depleted_fuel_curium:10, Depleted HECm-247 Fuel
nuclearcraft:depleted_fuel_curium:11, Depleted HECm-247 Oxide Fuel
nuclearcraft:depleted_fuel_berkelium:0, Depleted LEB-248 Fuel
nuclearcraft:depleted_fuel_berkelium:1, Depleted LEB-248 Oxide Fuel
nuclearcraft:depleted_fuel_berkelium:2, Depleted HEB-248 Fuel
nuclearcraft:depleted_fuel_berkelium:3, Depleted HEB-248 Oxide Fuel
nuclearcraft:depleted_fuel_californium:0, Depleted LECf-249 Fuel
nuclearcraft:depleted_fuel_californium:1, Depleted LECf-249 Oxide Fuel
nuclearcraft:depleted_fuel_californium:2, Depleted HECf-249 Fuel
nuclearcraft:depleted_fuel_californium:3, Depleted HECf-249 Oxide Fuel
nuclearcraft:depleted_fuel_californium:4, Depleted LECf-251 Fuel
nuclearcraft:depleted_fuel_californium:5, Depleted LECf-251 Oxide Fuel
nuclearcraft:depleted_fuel_californium:6, Depleted HECf-251 Fuel
nuclearcraft:depleted_fuel_californium:7, Depleted HECf-251 Oxide Fuel
nuclearcraft:depleted_fuel_ic2:0, Depleted Uranium Nuclear Fuel
nuclearcraft:depleted_fuel_ic2:1, Depleted MOX Nuclear Fuel
nuclearcraft:boron:0, Boron-10
nuclearcraft:boron:1, Tiny Clump of Boron-10
nuclearcraft:boron:2, Boron-11
nuclearcraft:boron:3, Tiny Clump of Boron-11
nuclearcraft:lithium:0, Lithium-6
nuclearcraft:lithium:1, Tiny Clump of Lithium-6
nuclearcraft:lithium:2, Lithium-7
nuclearcraft:lithium:3, Tiny Clump of Lithium-7
nuclearcraft:lithium_ion_cell, Lithium Ion Cell
nuclearcraft:geiger_counter, Geiger Counter
nuclearcraft:rad_shielding:0, Light Radiation Shielding
nuclearcraft:rad_shielding:1, Medium Radiation Shielding
nuclearcraft:rad_shielding:2, Heavy Radiation Shielding
nuclearcraft:radiation_badge, Radiation Badge
nuclearcraft:radaway, RadAway
nuclearcraft:radaway_slow, Slow-Acting RadAway
nuclearcraft:rad_x, Rad-X
nuclearcraft:portable_ender_chest, Portable Ender Chest
nuclearcraft:dominos, Domino's Special
nuclearcraft:flour, Flour
nuclearcraft:graham_cracker, Graham Cracker
nuclearcraft:roasted_cocoa_beans, Roasted Cocoa Beans
nuclearcraft:ground_cocoa_nibs, Ground Cocoa Nibs
nuclearcraft:cocoa_butter, Solidified Cocoa Butter
nuclearcraft:cocoa_solids, Cocoa Solids
nuclearcraft:unsweetened_chocolate, Unsweetened Chocolate
nuclearcraft:dark_chocolate, Dark Chocolate
nuclearcraft:milk_chocolate, Milk Chocolate
nuclearcraft:gelatin, Gelatin
nuclearcraft:marshmallow, Marshmallow
nuclearcraft:smore, S'more S'mingot
nuclearcraft:moresmore, MoreS'more DoubleS'mingot
nuclearcraft:foursmore, FourS'more QuadS'mingot
nuclearcraft:record_wanderer, Music Disc
nuclearcraft:record_end_of_the_world, Music Disc
nuclearcraft:record_money_for_nothing, Music Disc
nuclearcraft:record_hyperspace, Music Disc
nuclearcraft:sword_boron, Boron Sword
nuclearcraft:pickaxe_boron, Boron Pickaxe
nuclearcraft:shovel_boron, Boron Shovel
nuclearcraft:axe_boron, Boron Axe
nuclearcraft:hoe_boron, Boron Hoe
nuclearcraft:spaxelhoe_boron, Boron Spaxelhoe
nuclearcraft:sword_tough, Tough Alloy Sword
nuclearcraft:pickaxe_tough, Tough Alloy Pickaxe
nuclearcraft:shovel_tough, Tough Alloy Shovel
nuclearcraft:axe_tough, Tough Alloy Axe
nuclearcraft:hoe_tough, Tough Alloy Hoe
nuclearcraft:spaxelhoe_tough, Tough Alloy Spaxelhoe
nuclearcraft:sword_hard_carbon, Hard Carbon Sword
nuclearcraft:pickaxe_hard_carbon, Hard Carbon Pickaxe
nuclearcraft:shovel_hard_carbon, Hard Carbon Shovel
nuclearcraft:axe_hard_carbon, Hard Carbon Axe
nuclearcraft:hoe_hard_carbon, Hard Carbon Hoe
nuclearcraft:spaxelhoe_hard_carbon, Hard Carbon Spaxelhoe
nuclearcraft:sword_boron_nitride, Boron Nitride Sword
nuclearcraft:pickaxe_boron_nitride, Boron Nitride Pickaxe
nuclearcraft:shovel_boron_nitride, Boron Nitride Shovel
nuclearcraft:axe_boron_nitride, Boron Nitride Axe
nuclearcraft:hoe_boron_nitride, Boron Nitride Hoe
